EpochTime,DeviceType,GPSMode,ReceiverType,latitude,longitude,speed,course,altitude,seperation,terrainElev,ehspe,espe,evpe,LowestGForce,LowestGForceXAccelleration,LowestGForceYAccelleration,LowestGForceZAccelleration,HighestGForce,HighestGForceXAccelleration,HighestGForceYAccelleration,HighestGForceZAccelleration,pitch,pitchrate,roll,rollrate,yaw,yawrate,platformid,WasActiveSource,FlightType,FlightModeStatus
1736274012,7,3,0,42.776199,-1.650200,73.230453,338.688995,1998.831055,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999154,0.000000,-0.847000,-0.530000,1.001286,-0.003000,-0.847000,-0.534000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274013,7,3,0,42.776501,-1.650400,73.022461,338.803986,2012.835571,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999155,-0.001000,-0.847000,-0.530000,1.002128,-0.001000,-0.848000,-0.534000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274014,7,3,0,42.776901,-1.650600,72.806694,338.731995,2027.863892,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998626,-0.002000,-0.847000,-0.529000,1.001817,-0.002000,-0.847000,-0.535000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274015,7,3,0,42.777199,-1.650700,72.740608,338.549988,2042.590820,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998212,-0.001000,-0.849000,-0.525000,1.002444,-0.002000,-0.849000,-0.533000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274016,5,3,5,51.526276,-0.097838,0.000000,0.000000,81.922958,-150.000000,1.000000,3.210028,0.000000,30.000000,0.999156,-0.002000,-0.847000,-0.530000,1.000751,-0.002000,-0.847000,-0.533000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,2,1,1
1736274016,7,3,0,42.777500,-1.650900,72.760040,338.473999,2056.840820,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999155,-0.001000,-0.847000,-0.530000,1.000534,-0.002000,-0.848000,-0.531000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274017,7,3,0,42.777802,-1.651100,72.849457,338.329987,2070.582275,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998629,-0.003000,-0.847000,-0.529000,1.001911,-0.001000,-0.849000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274018,7,3,0,42.778099,-1.651300,72.991364,338.410004,2083.908447,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998625,-0.001000,-0.847000,-0.529000,1.001596,-0.001000,-0.848000,-0.533000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274019,7,3,0,42.778400,-1.651500,73.154640,338.343994,2097.052734,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998095,-0.001000,-0.847000,-0.528000,1.001913,-0.002000,-0.849000,-0.532000,999.000000,-0.000905,999.000000,-0.003436,999.000000,-0.003005,14,1,3,1
1736274020,7,3,0,42.778702,-1.651700,73.319870,337.996002,2110.123779,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999473,-0.001000,-0.848000,-0.529000,1.001382,-0.002000,-0.849000,-0.531000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274021,7,3,0,42.778999,-1.651900,73.469543,337.540985,2123.213623,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998625,-0.001000,-0.847000,-0.529000,1.000537,-0.003000,-0.848000,-0.531000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
